fips,population
28063.0,7106
28063.0,11234
28065.0,7106
28065.0,11234
28067.0,68461
28069.0,10027
28071.0,54793
28073.0,62447
28075.0,75317
28077.0,12455
28079.0,22763
28081.0,85202
28083.0,28919
28085.0,34205
28087.0,58930
28089.0,105630
28091.0,24715
28093.0,35451
28095.0,35564
28097.0,10023
28099.0,29125
28101.0,21443
28103.0,10535
28105.0,49599
28107.0,34178
28109.0,55387
28111.0,11931
28113.0,39563
28115.0,31833
28117.0,25315
28119.0,7051
28121.0,153902
28123.0,28287
28125.0,4377
28127.0,26758
28129.0,16002
28131.0,18717
28133.0,25735
28135.0,13987
28137.0,28759
28139.0,21995
28141.0,19454
28143.0,9944
28145.0,28606
28147.0,14465
28149.0,46176
28151.0,45063
28153.0,20298
28155.0,9788
28157.0,8792
28159.0,18165
28161.0,12392
28163.0,28248
29001.0,25339
29003.0,17607
29005.0,5171
29007.0,25473
29009.0,35886
29011.0,11798
29013.0,16320
29015.0,19278
29017.0,12169
29019.0,180005
29021.0,88571
29023.0,42639
29025.0,9108
29027.0,44889
29029.0,45815
29031.0,78753
29033.0,8743
29035.0,6054
29037.0,104954
29039.0,14165
29041.0,7451
29043.0,86983
29045.0,6842
29047.0,246365
29049.0,20470
29051.0,76796
29053.0,17603
29055.0,23957
29057.0,7569
29059.0,16762
29061.0,8313
29063.0,12630
29065.0,15441
29067.0,13373
29069.0,29423
29071.0,103670
29073.0,14705
29075.0,6628
29077.0,291923
29079.0,9914
29081.0,8414
29083.0,21792
29085.0,9509
29087.0,4404
29089.0,10137
29091.0,40076
29093.0,10177
29095.0,700307
29097.0,120636
29099.0,224347
29101.0,53652
29103.0,3947
29105.0,35713
29107.0,32598
29109.0,38359
29111.0,9855
29113.0,57686
29115.0,12037
29117.0,15146
29119.0,23078
29121.0,15153
29123.0,12188
29125.0,8769
29127.0,28592
29129.0,3641
29131.0,25336
29133.0,13336
29135.0,16121
29137.0,8664
29139.0,11534
29141.0,20358
29143.0,17296
29145.0,58266
29147.0,22304
29149.0,10541
29151.0,13714
29153.0,9017
29155.0,16272
29157.0,19150
29159.0,42542
29161.0,44732
29163.0,18504
29165.0,102985
29167.0,32201
29169.0,52014
29171.0,4757
29173.0,10212
29175.0,24763
29177.0,22883
29179.0,6254
29181.0,13401
29183.0,399182
29183.0,9395
29183.0,66692
29183.0,996945
29183.0,302838
29185.0,399182
29185.0,9395
29185.0,66692
29185.0,996945
29185.0,302838
29187.0,399182
29187.0,9395
29187.0,66692
29187.0,996945
29187.0,302838
29189.0,399182
29189.0,9395
29189.0,66692
29189.0,996945
29189.0,302838
