fips,County,State,Total_Confirmed,Total_Deaths
48407.0,San Jacinto,Texas,408265.0,11301.0
48437.0,Swisher,Texas,263495.0,5517.0
48473.0,Waller,Texas,1254378.0,14553.0
48217.0,Hill,Texas,1313613.0,29401.0
48289.0,Leon,Texas,488884.0,12643.0
48341.0,Moore,Texas,983104.0,23944.0
48497.0,Wise,Texas,2208217.0,36233.0
48001.0,Anderson,Texas,2195980.0,37553.0
48063.0,Camp,Texas,420362.0,13392.0
48077.0,Clay,Texas,310031.0,4909.0
48089.0,Colorado,Texas,555239.0,8660.0
48093.0,Comanche,Texas,471719.0,14427.0
48177.0,Gonzales,Texas,909389.0,17507.0
48179.0,Gray,Texas,743231.0,16734.0
48265.0,Kerr,Texas,1332056.0,25627.0
48297.0,Live Oak,Texas,380425.0,7057.0
48351.0,Newton,Texas,202761.0,11004.0
48405.0,San Augustine,Texas,208497.0,11192.0
48499.0,Wood,Texas,1081730.0,38924.0
48129.0,Donley,Texas,123826.0,4045.0
48171.0,Gillespie,Texas,759960.0,14861.0
48175.0,Goliad,Texas,150080.0,4640.0
48241.0,Jasper,Texas,788171.0,27863.0
48249.0,Jim Wells,Texas,1459741.0,33456.0
48287.0,Lee,Texas,621156.0,12908.0
48363.0,Palo Pinto,Texas,919978.0,23066.0
48365.0,Panola,Texas,561155.0,25656.0
48281.0,Lampasas,Texas,629608.0,9932.0
48449.0,Titus,Texas,1364359.0,26754.0
48003.0,Andrews,Texas,606019.0,14021.0
48211.0,Hemphill,Texas,175714.0,704.0
48233.0,Hutchinson,Texas,625790.0,20656.0
48319.0,Mason,Texas,127210.0,1738.0
48455.0,Trinity,Texas,256410.0,8193.0
48457.0,Tyler,Texas,422704.0,11131.0
48007.0,Aransas,Texas,419559.0,13316.0
48371.0,Pecos,Texas,533287.0,10487.0
48505.0,Zapata,Texas,539082.0,9645.0
48059.0,Callahan,Texas,354655.0,11480.0
48107.0,Crosby,Texas,197504.0,8773.0
48111.0,Dallam,Texas,295365.0,8173.0
48193.0,Hamilton,Texas,247927.0,8033.0
48195.0,Hansford,Texas,271433.0,7164.0
48275.0,Knox,Texas,84867.0,5612.0
48335.0,Mitchell,Texas,197913.0,8423.0
48025.0,Bee,Texas,1268157.0,24180.0
48119.0,Delta,Texas,97447.0,3157.0
48125.0,Dickens,Texas,56704.0,2963.0
48153.0,Floyd,Texas,257835.0,9646.0
48163.0,Frio,Texas,930394.0,14012.0
48253.0,Jones,Texas,915897.0,14865.0
48019.0,Bandera,Texas,410514.0,8742.0
